STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2022,,64.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2023,,62.9,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,NO,Norway,2024,,62.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2015,,63.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2016,,64.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2017,,63.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2018,,64.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2019,,64.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2020,,64.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2021,,64.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2022,,64.1,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2023,,64.4,,ep,"estimated, provisional",,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,PL,Poland,2024,,66.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2015,,59.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2016,,59.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2017,,58.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2018,,59.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2019,,60.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2020,,60.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2021,,58.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2022,,59.3,,e,estimated,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2023,,58.9,,e,estimated,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,RO,Romania,2024,,65.9,,be,"break in time series, estimated",,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2015,,61.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2016,,64.0,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2017,,62.9,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2018,,64.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2019,,64.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2020,,63.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2021,,61.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2022,,64.5,,b,break in time series,,
