country,year,poor_py,poor_lo,poor_hi,nace_q_va,nace_q_lo,nace_q_hi
DE,2026,1521930984.9933357,1279132209.061024,1760725270.8188584,264831.81341331184,251895.04965518368,278329.73113165435
DE,2027,1514245610.9994607,1196739421.2597218,1848626769.752564,268219.1708601133,252746.84880290666,286145.7514294826
DE,2028,1517778227.0229225,1156290038.8256507,1867053615.6660988,272026.4516319662,250751.91903473754,295029.1128697083
DE,2029,1509435080.9974046,1106016847.7869537,1892196731.9421723,274585.8507490547,251568.4884465382,301449.5580120656
DE,2030,1513969988.6712623,1055617360.5819582,1956185336.0188262,277591.32097474154,252989.59473971077,309068.5577612788
DE,2031,1509163039.2238274,1105660859.7568502,1951111532.1504295,280846.6250179057,252540.114982004,315370.71097711544
DE,2032,1496783345.6190813,1032095096.5375923,1969533472.2473476,284076.0583660542,254073.24983138565,322871.41958721844
DE,2033,1487986013.4318466,1002140299.9144987,1983806391.8767169,287280.1061175753,252433.66635708496,329156.804732006
FR,2025,1338479381.314268,1270313024.0302076,1407572361.6962261,190864.5944310635,177992.62773919458,204368.1083767842
FR,2026,1340465860.885875,1233927608.8719332,1457224536.099205,192714.75977055368,177912.6372287178,209610.14298096177
FR,2027,1339164074.6901436,1208336627.036257,1475553964.9724557,194411.59307955304,176490.51289352443,213357.54169269517
FR,2028,1355449522.427809,1220362972.184631,1483532500.3654604,196681.59783492304,175304.2070515693,218173.58021240597
FR,2029,1353730508.498055,1214527211.6080723,1499477872.7182863,196111.9968359769,176461.378228755,222664.5380372638
FR,2030,1362769388.3248832,1251532297.2450557,1467609072.0255558,197614.08355452216,175400.1378161393,224614.93133442238
FR,2031,1364806830.370969,1253983472.120866,1472547560.1455097,199100.1775362093,175171.5651680316,231060.5991365296
FR,2032,1373701350.2505586,1263305011.4568102,1482158118.3570845,200562.14383501135,173789.57000230218,234482.67075833058
FR,2033,1377971132.447589,1264423594.6313102,1493313898.4610634,202001.24267382274,174727.1918099399,244420.6226286071
NO,2025,98561014.95747072,84184793.42576599,112845586.70748748,38430.785331255895,36272.67093779124,41340.34811020883
NO,2026,98840585.03822143,80447257.33966935,118450717.52730897,39026.21678949646,35904.304537569325,43216.39083043694
NO,2027,99365318.23716766,75526830.69499676,123140084.62453602,39665.60784281989,35400.80275633329,44592.94588401108
NO,2028,99757319.3727905,71576641.99886186,128274551.89912097,40365.883477098345,35087.25781824173,46017.64922084494
NO,2029,101927405.9923176,69082317.92261098,136536792.8416576,41077.76559708282,35668.56008078214,47198.18190023742
NO,2030,101411525.19946176,62462211.0783647,138675149.7063392,41635.362968541,35481.54624397154,48949.03945305485
NO,2031,102556575.97877565,60975551.498313054,146593791.05716598,41412.56793069353,35146.482954851395,50435.16477875603
NO,2032,102301956.30030651,55431465.03933939,148862829.21576384,41905.11971006718,35108.03364201355,52019.302340596376
NO,2033,103030022.37459639,55095617.55542916,152903373.0164807,42396.48074418908,35596.316842003995,52264.02375767492
CH,2025,236552424.63390252,221110213.6678224,251910467.87864745,59709.6512607044,50111.4747537162,71504.60865804952
CH,2026,239228959.6721136,217642049.18593672,260790159.14174625,59780.547219335,43300.220987273766,83854.71906164613
CH,2027,242782572.32177132,216443387.680631,269410394.6929619,60017.75751259335,37397.429908253725,96914.4467867764
CH,2028,244691226.1645614,215506133.77248535,273615715.7335293,60095.74029402671,30495.570691584653,114681.15802615677
CH,2029,247118679.5621622,214525340.3316992,278610114.35109407,60780.673423593595,25404.827055452464,134685.8190104291
CH,2030,249121648.32568023,212920136.7641873,285932529.19457835,60948.30327215542,22025.10293049022,156946.01394206326
CH,2031,252327750.33764368,210676720.806631,293748354.9947968,61194.57057536699,18946.523416659325,192891.26414256654
CH,2032,256185396.92951185,216419663.65735927,296618357.3537517,61463.63311531873,16321.844587916765,203145.11559533633
CH,2033,259060139.62509468,215798454.6525744,302040673.8556786,61755.31050175319,13093.19748185991,246846.20216979246
