country,sex,year,jobs,demand,demand_lo,demand_hi
PL,M,2031,8746353.259993857,218658831.49984625,174219544.71930826,261052368.03799874
PL,M,2032,8615034.507712971,215375862.6928242,167948276.21558163,261839123.8580512
PL,M,2033,8618571.068110833,215464276.7027706,161569415.642357,265149251.85840756
CZ,F,2025,2374614.111327327,83111493.89645663,81336420.37498757,84628906.4174681
CZ,F,2026,2366293.3918658723,82820268.71530557,77611666.2361923,87995807.17705335
CZ,F,2027,2355982.5968538034,82459390.88988322,74526620.23243035,90565678.73829684
CZ,F,2028,2357759.3347047023,82521576.71466461,73452157.81718205,91901689.64240459
CZ,F,2029,2341422.564688973,81949789.764114,70667088.90840764,93644790.53955965
CZ,F,2030,2311162.3204217693,80890681.21476215,65715340.93764536,95264837.66821009
CZ,F,2031,2311037.6989148017,80886319.46201794,64020373.058013596,98449946.68166938
CZ,F,2032,2286942.2795875953,80042979.78556578,55514015.79260798,105511052.8105469
CZ,F,2033,2273316.032677939,79566061.14372781,53519058.568449005,106411637.03564246
CZ,M,2025,2761196.620030822,96641881.70107855,92585717.57731254,101413570.82746612
CZ,M,2026,2754307.8321129647,96400774.1239537,90640197.45782736,102389898.91141437
CZ,M,2027,2755476.5864257147,96441680.52489989,89497427.2248407,103917169.72486815
CZ,M,2028,2739685.9703113614,95889008.96089801,86852585.17873254,104509083.40956831
CZ,M,2029,2739066.756321181,95867336.47124112,86102371.93036748,105810112.41453207
CZ,M,2030,2738335.7126016673,95841749.9410582,85580743.0389083,105555324.61880913
CZ,M,2031,2720079.779153626,95202792.27037679,85958572.7286706,104878987.49504492
CZ,M,2032,2723621.436969595,95326750.29393612,85285467.9448386,105779505.18088882
CZ,M,2033,2719749.562007309,95191234.67025574,84247887.32697384,106948472.04867382
RO,F,2025,3228483.1885091267,112996911.59781964,111195452.95563133,114569274.37752438
RO,F,2026,3196270.9195484105,111869482.18419464,107234438.40741506,116620175.09544292
RO,F,2027,3170795.745460258,110977851.09110908,105356645.80272982,116560286.3532383
RO,F,2028,3135915.297915841,109757035.42705463,103417025.6691339,116718436.28920011
RO,F,2029,3114213.7188004768,108997480.1580167,102377239.818429,115649011.82012853
RO,F,2030,3088351.9754308513,108092319.14007995,100297271.19264965,115930165.17234653
RO,F,2031,3067955.1942031733,107378431.79711083,98755129.00175495,115730560.65189828
RO,F,2032,3045153.3050945667,106580365.6783099,97167055.6359096,116187476.91626246
RO,F,2033,2989911.1137622767,104646888.98167947,97979553.69514461,111345917.66220197
RO,M,2025,4357536.679541934,152513783.7839676,149678794.3552834,155768269.6885637
RO,M,2026,4331642.487899347,151607487.0764773,145386065.79507905,157686683.45307517
RO,M,2027,4308402.682092156,150794093.8732254,143906068.54493335,158203764.73347244
RO,M,2028,4280716.0494803935,149825061.7318138,141934260.7385434,158120751.6786727
RO,M,2029,4265852.2633161405,149304829.21606496,141154239.9109084,157843911.59334663
RO,M,2030,4235543.13194758,148244009.61816546,138782965.5138704,158081949.10495484
RO,M,2031,4220258.190807701,147709036.67826936,137212266.8735371,158037650.03122985
RO,M,2032,4201851.216884491,147064792.59095693,135809259.03968096,157969526.06432167
RO,M,2033,4155319.112440441,145436168.93541518,135406029.898159,155515056.6771148
DE,F,2025,19823374.649770916,892051859.2396916,875570423.1213405,910563873.757595
DE,F,2026,19824142.798349872,892086425.9257435,866288870.5468339,919270319.9748031
DE,F,2027,19765265.838189565,889436962.7185291,855831790.6140323,923018869.2354134
DE,F,2028,19714603.539236832,887157159.2656571,846264588.4969444,927991201.5167465
DE,F,2029,19638885.933221556,883749866.9949706,838397370.1565748,930860389.5894911
DE,F,2030,19529577.257726066,878830976.5976735,822717961.3655719,934756201.8529534
DE,F,2031,19529459.184539247,878825663.3042654,813696219.9307349,945061884.0702345
DE,F,2032,19491452.981379736,877115384.1620873,805151162.9121126,948075135.5696075
DE,F,2033,19463177.143793408,875842971.4707017,802435837.2902921,952476799.7439785
DE,M,2025,22043505.18746532,991957733.4359403,980258183.0284733,1003770777.0060931
DE,M,2026,22003336.20662711,990150129.2982211,966545415.1984617,1013291247.688943
DE,M,2027,21958040.807676747,988111836.3454552,956830718.5119575,1021246027.5931954
DE,M,2028,21816753.582574517,981753911.215853,947513944.9858247,1017899142.045587
DE,M,2029,21718432.664047223,977329469.882126,933244047.3916728,1022576799.3259345
DE,M,2030,21637020.13782849,973665906.2022816,926493557.6689985,1023380495.4461687
DE,M,2031,21521783.088563748,968480238.9853672,908549875.9260492,1029951213.5356394
DE,M,2032,21490304.776294325,967063714.9332461,904569729.737954,1032345217.9662163
DE,M,2033,21365141.19022672,961431353.5602039,886556352.6272012,1030380117.4250764
FR,F,2025,14242312.735292483,612419447.6175749,604678470.7500792,619930362.831586
FR,F,2026,14301063.333157904,614945723.3257887,600620280.1995268,629675510.696953
FR,F,2027,14356514.562363405,617330126.181627,594937055.0984465,639880329.9484432
FR,F,2028,14395966.44496318,619026557.1334178,588871343.265799,649113671.1623918
FR,F,2029,14419215.981670167,620026287.2118161,577976971.4121653,659648219.864944
FR,F,2030,14445946.921891633,621175717.6413403,570714342.5200933,672108460.1384976
FR,F,2031,14472337.355676534,622310506.2940922,568612069.968289,676695169.7885062
FR,F,2032,14465700.138559546,622025105.9580595,559851109.8688917,680191789.0013204
FR,F,2033,14498728.648112664,623445331.8688443,550482600.7996976,693958973.4785324
FR,M,2025,14820188.366820646,637268099.7732879,622990650.5314032,649076081.5976448
FR,M,2026,14814539.140450245,637025183.0393605,619482114.4850819,653232977.4973651
FR,M,2027,14802261.214447387,636497232.2212368,609497185.9636592,661081606.4626329
FR,M,2028,14801387.791947676,636459675.0537504,599766052.9464626,670785149.9500788
FR,M,2029,14747304.555527112,634134095.8876661,591284925.2071761,673793990.043003
FR,M,2030,14668960.324740652,630765293.9638479,580318356.851373,683052042.9712969
FR,M,2031,14706425.734962499,632376306.6033883,571840758.5910302,690748234.1093217
FR,M,2032,14663782.460372156,630542645.796004,562405017.6508092,696571455.1732982
FR,M,2033,14560146.523215283,626086300.4982578,553454106.2621983,691704162.805389
NO,F,2025,1358707.2965326195,58084736.92676948,57682369.105668806,58452503.389653906
NO,F,2026,1362738.1015977752,58257053.843305,57298134.59536142,59196953.95639761
NO,F,2027,1370914.5229881846,58606595.85774488,57096199.6909796,60203333.71850704
NO,F,2028,1376935.6294546234,58863998.15918514,56835482.49360964,60919546.054210916
NO,F,2029,1385454.2106612585,59228167.50576875,57061736.5085979,61477921.364159785
NO,F,2030,1389754.115739446,59411988.447861165,56591780.70256049,62337862.52486442
NO,F,2031,1393826.281905784,59586073.551472254,56547475.65091888,62655870.82569493
NO,F,2032,1398063.8094343184,59767227.853317134,56306854.21854061,63405221.31332555
NO,F,2033,1406425.431602407,60124687.201002926,56509702.625895776,63786954.57708603
NO,M,2025,1480758.387431166,63302421.062682405,62840688.80084117,63745766.82279052
NO,M,2026,1487903.369337279,63607869.03916861,62309918.99053086,64854889.10039389
NO,M,2027,1494453.5510521454,63887889.30747927,61971901.77932607,65750536.80128397
NO,M,2028,1503616.993044698,64279626.45266086,62011449.97400575,66547308.46807589
NO,M,2029,1509691.474356335,64539310.528733276,62031991.582112,66969777.01754586
NO,M,2030,1518295.1997116623,64907119.787673704,61805132.29669519,68233787.304413
NO,M,2031,1525740.3425123752,65225399.642403916,61745443.62525305,68454043.09624583
NO,M,2032,1529628.9743585591,65391638.65382837,61918093.422650725,69142852.83083458
NO,M,2033,1530977.8901161158,65449304.802463986,61587271.57332468,69430332.77942584
CH,F,2025,2246000.8465019083,98824037.24608402,97570778.09030439,100113536.44928616
CH,F,2026,2250392.367108895,99017264.15279116,97029536.48289375,101089062.26720017
CH,F,2027,2252613.2109059566,99114981.27986203,96583140.0219387,101716230.03240544
CH,F,2028,2254859.6851625335,99213826.14715156,95947424.74261887,102461738.03180984
CH,F,2029,2252528.289429347,99111244.7348911,95301484.89262027,102792469.52997907
CH,F,2030,2252296.050757445,99101026.23332748,94795626.92160675,103239125.73430258
CH,F,2031,2253539.236838107,99155726.42087658,94123435.84694798,104342267.56551673
