country,year,gdp,employed_ths,healthy_share,hly_birth,prod
CZ,2006,148717.1,4769.4,0.7682663241823173,58.923893105123575,31.181511301211895
CZ,2007,156879.9,4855.9,0.8101423355659058,62.37159019109474,32.30706975020079
CZ,2008,160978.1,4933.6,0.8070100985229159,62.37164152250579,32.62893221988001
CZ,2009,153253.8,4857.299999999999,0.8002108565432614,61.91476547133198,31.55123216601816
CZ,2010,157414.1,4809.6,0.8157488064019236,63.370858111688605,32.72914587491683
CZ,2011,160204.1,4796.3,0.8074499883648139,62.912834152034605,33.40160123428476
CZ,2012,158969.5,4810.299999999999,0.8091235004920568,63.21619374524354,33.04773091075401
CZ,2013,158903.0,4845.9,0.8100230888402088,63.36514939675974,32.79122557213314
CZ,2014,162470.7,4883.4,0.8141569640455285,64.21428093762245,33.269996314043496
CZ,2015,170527.3,4934.299999999999,0.8020897557926154,63.06137507324492,34.559572786413476
CZ,2016,174928.3,5015.9,0.8013455890859661,63.36115886885943,34.87475826870552
CZ,2017,183978.4,5093.9,0.7783516867847823,61.51509633399566,36.11739531596616
CZ,2018,189185.5,5146.9,0.7943755844635589,62.80964027047927,36.757174221375976
CZ,2019,195931.5,5151.0,0.7842255434506618,62.15682035343388,38.03756552125801
CZ,2020,185537.5,5086.9,0.7884808294431179,61.711217344703385,36.47358902278402
CZ,2021,193012.9,5066.1,0.8031401808684562,62.0696852242379,38.0989123783581
CZ,2022,198508.3,5021.7,0.7827549085022829,61.808509716967485,39.53009936873967
CZ,2023,198602.7,4890.3,0.7769996579590267,62.06069178849579,40.611557573155025
CZ,2024,201087.9,5010.4,0.7804692214463498,62.46481587405412,40.13410106977487
CZ,2025,206276.9,5063.299999999999,,,40.73961645567121
DE,1995,2356242.3,35461.0,,,66.44601957079608
DE,1996,2380697.2,35292.1,,,67.45694362194372
DE,1997,2424843.0,34946.9,,,69.38649780094944
DE,1998,2475658.3,35193.8,,,70.34359176900476
DE,1999,2528379.2,35742.4,,,70.73893191279825
DE,2000,2601108.6,35976.7,,,72.29981071082118
DE,2001,2643666.4,36144.9,,,73.14078611367025
DE,2002,2637632.1,35868.8,,,73.53555457667944
DE,2003,2623657.9,35523.0,,,73.85800467302874
DE,2004,2654147.1,35022.5,,,75.78405596402312
DE,2005,2677649.2,35844.7,0.6889671950322868,54.65326104825903,74.70139797515394
DE,2006,2781185.4,36633.0,0.7333800668718298,58.49573479922698,75.92021947424453
DE,2007,2861537.1,37397.2,0.7348710745863457,58.79583896991876,76.51741574235506
DE,2008,2886944.7,37902.3,0.711957909557298,57.06319682552582,76.16806104115054
DE,2009,2726876.5,37807.8,0.7174907983100924,57.60996184792545,72.12470707102767
DE,2010,2839623.0,37337.1,0.7244263071421394,58.30779951584955,76.05365708638325
DE,2011,2946335.1,38045.4,0.7231231585526102,58.20983701927892,77.44261067040956
DE,2012,2959991.7,38320.6,0.7147835113288075,57.60697642786627,77.24283283664661
DE,2013,2971742.8,38640.0,0.7122023018613203,57.34234228497021,76.90845755693582
DE,2014,3036532.3,38907.8,0.695823655716114,56.45102369007183,78.04430731113041
DE,2015,3087030.0,39175.8,0.8229191641538808,66.42068148076955,78.799411881825
DE,2016,3155630.7,40165.100000000006,0.8182152645095732,66.31396323029085,78.56648433590355
DE,2017,3243922.3,40481.600000000006,0.813288643044141,65.91092965987968,80.13325313228725
DE,2018,3280763.4,40635.7,0.8118655567511537,65.70800958774561,80.73598830584929
DE,2019,3312840.5,41065.0,0.814589192816959,66.26111738255096,80.67309144039936
DE,2020,3175956.8,40155.2,0.8109095561220834,65.7637802641973,79.09204287365024
DE,2021,3300136.7,39502.8,0.8116087347965243,65.61192704383696,83.54184260356227
DE,2022,3359844.7,40401.7,0.7572955888722094,61.05198869317013,83.16097342438562
DE,2023,3330625.9,40816.0,0.7715156398793153,62.556924943822075,81.60098735789886
DE,2024,3314110.9,40808.399999999994,0.7681329251133378,62.35339155479989,81.21148832103195
DE,2025,3321415.6,40596.9,,,81.81451293079029
FR,1995,1576638.1,21783.1,,,72.37895891769308
FR,1996,1598665.0,21893.800000000003,,,73.01907389306561
FR,1997,1639064.3,21849.3,,,75.01678772317649
FR,1998,1695654.5,22139.0,,,76.59128686932563
FR,1999,1753295.1,22414.2,,,78.22251519126269
FR,2000,1825899.0,23028.9,,,79.2872868439222
FR,2001,1860581.3,23584.1,,,78.89134204824437
FR,2002,1880447.7,23784.3,,,79.06256227847781
FR,2003,1898647.2,24513.4,,,77.45344179102041
FR,2004,1953105.2,24475.5,0.784024170143865,62.94380017408588,79.79837796980654
FR,2005,1989990.8,24873.4,0.7909098380483819,63.48666102728774,80.00477618660898
FR,2006,2044000.5,25049.8,0.7864604598175042,63.625904751782926,81.59747782417425
FR,2007,2095723.5,25459.4,0.7835578798852212,63.625624597916584,82.31629574931067
FR,2008,2103690.9,25792.5,0.7831607645474538,63.67718011786582,81.56211689444605
FR,2009,2044271.0,25544.5,0.775166632794638,63.16117313558463,80.02783378026581
FR,2010,2085163.1,25580.6,0.766022853550062,62.62542980964587,81.51345550925312
FR,2011,2135990.5,25564.0,0.7685479260962035,63.164217156567304,83.55462760131435
FR,2012,2139917.2,25568.199999999997,0.7704838717623566,63.21899184280622,83.69447986170323
FR,2013,2156646.2,25546.4,0.7735930821560533,63.67036213221424,84.42074812889487
FR,2014,2178165.9,26108.6,0.7707512953793996,63.812548575567085,83.42714278053975
FR,2015,2201401.6,26136.3,0.7719713469470698,63.631743840368244,84.22774455450849
FR,2016,2220334.3,26239.0,0.7670549605580586,63.374125946408284,84.61962346125995
FR,2017,2266597.6,26434.2,0.7707792385224148,63.73917589594919,85.74489108806017
FR,2018,2303903.7,26646.1,0.7728986328538473,63.968034287594655,86.46307339535618
