country,sex,year,employed_ths,hly_65,hly_birth,le_15_alt,le_65,le_birth,pop_total,unemp_rate,working_life_yrs,pop_15_64,pop_65p,coicop_education,coicop_hotels_rest,coicop_recreation,gov_health_exp,gov_social_exp,nace_q_va,vacancy_count,vacancy_rate,covid,statutory_retirement_age,required_service_years,healthy_share,potential_workers,span_ceiling,supply_ceiling,supply_realized,realization_ratio,vacancies_sex,jobs,demand,balance_ceiling,balance_realized
CH,F,2018,2099.4,10.2,59.5,70.8,23.0,85.7,4277696.0,5.1,40.3,2799023.0,861379.0,3313.9,28824.3,22398.7,13042.7,79660.8,49158.9,74014.5,1.45,0,64.5,44.0,0.6942823803967327,1943312.351225204,49.5,96193961.3856476,78315487.75437571,0.814141414141414,34611.76132668063,2134011.7613266804,93896517.49837394,2297443.8872736543,-15581029.74399823
CH,F,2019,2125.8,10.5,60.0,70.9,23.0,85.8,4307406.0,4.7,40.5,2808664.0,874250.0,3442.9,29246.9,22163.8,14085.6,83812.9,50716.4,83383.5,1.625,0,64.5,44.0,0.6993006993006993,1964100.6993006992,49.5,97222984.61538461,79546078.32167831,0.8181818181818182,39147.64997018486,2164947.649970185,95257696.59868814,1965288.016696468,-15711618.27700983
CH,F,2020,2123.3,11.1,60.7,70.5,22.2,85.1,4337170.0,5.0,40.3,2819612.0,887796.0,3386.4,20875.8,19375.0,16800.5,106769.0,49929.2,66870.0,1.3,1,64.5,44.0,0.7132784958871916,2011168.6063454761,49.5,99552846.01410107,81050094.83572268,0.814141414141414,31423.749778682723,2154723.749778683,94807844.99026205,4745001.023839027,-13757750.154539362
CH,F,2021,2130.3,10.9,59.3,71.0,23.0,85.8,4367701.0,5.3,40.4,2833462.0,899207.0,3427.3,19400.0,19335.3,19011.2,98166.5,53279.6,90731.0,1.7,1,64.5,44.0,0.6911421911421911,1958325.1351981352,49.5,96937094.1923077,79116335.46200466,0.8161616161616161,42723.24866824341,2173023.248668243,95613022.9414027,1324071.2509049922,-16496687.479398042
CH,F,2022,2151.2,10.1,56.7,70.8,22.6,85.5,4400588.0,4.4,40.1,2844510.0,914173.0,3438.7,28514.9,21594.1,18199.3,99767.8,55796.8,123358.0,2.225,0,64.5,44.0,0.6631578947368422,1886359.2631578948,49.5,93374783.5263158,75643006.4526316,0.8101010101010101,57969.66371758743,2209169.6637175875,97203465.20357385,-3828681.6772580594,-21560458.75094226
CH,F,2023,2186.0,10.2,55.4,71.2,23.0,86.0,4435432.0,4.3,40.6,2861595.0,928581.0,,,,18606.2,107410.1,57173.7,118352.25,2.125,0,64.5,44.0,0.6441860465116279,1843399.5697674418,49.5,91248278.70348836,74842022.53255814,0.8202020202020203,55655.03990448737,2241655.0399044873,98632821.75579745,-7384543.052309081,-23790799.223239303
CH,F,2024,2205.9,11.1,56.5,71.3,23.0,85.9,4510726.0,4.6,40.9,2908814.0,948299.0,,,,19623.3,114099.4,60467.5,101202.0,1.825,0,64.5,44.0,0.6577415599534342,1913247.8579743886,49.5,94705768.96973224,78251837.39115249,0.8262626262626263,47812.5317084663,2253712.5317084664,99163351.39517252,-4457582.425440282,-20911514.004020035
CH,M,2011,2252.7,12.7,66.3,65.9,19.2,80.5,3877426.0,4.1,44.1,2694579.0,571541.0,3078.5,28597.0,23949.0,9840.9,64626.2,37158.7,59103.5,1.275,0,64.5,44.0,0.8236024844720496,2219261.9590062113,49.5,109853466.97080746,97869452.39217392,0.890909090909091,31934.77272618248,2284634.7727261824,100523929.99995202,9329536.970855445,-2654477.607778102
CH,M,2012,2269.6,13.6,68.6,66.0,19.3,80.6,3922253.0,4.3,44.2,2718741.0,590098.0,3147.6,27870.7,24504.1,10923.0,67087.2,38976.8,54602.25,1.15,0,64.5,44.0,0.8511166253101737,2313965.665012407,49.5,114541300.41811416,102277282.3935484,0.892929292929293,29405.89578340412,2299005.895783404,101156259.41446978,13385041.003644377,1121022.9790786207
CH,M,2013,2279.8,10.6,61.5,66.1,19.4,80.7,3968524.0,4.6,44.1,2743580.0,608255.0,3205.7,28171.9,24162.1,11235.7,70640.5,40901.4,57046.0,1.175,0,64.5,44.0,0.7620817843866171,2090832.342007435,49.5,103496200.92936803,92205706.28252788,0.890909090909091,30631.08738047011,2310431.0873804702,101658967.84474069,1837233.0846273452,-9453261.56221281
