country,sex,year,pop_total,le_birth,hly_birth,poor_pp,poor_py
CZ,M,2021,5170902.0,74.1,60.7,13.399999999999991,69290086.79999995
CZ,M,2022,5183775.0,76.1,61.2,14.899999999999991,77238247.49999996
CZ,M,2023,5308523.0,76.9,61.5,15.400000000000006,81751254.20000003
CZ,M,2024,5342610.0,77.1,61.7,15.399999999999991,82276193.99999996
DE,F,2005,42147222.0,82.0,54.8,27.200000000000003,1146404438.4
DE,F,2006,42098034.0,82.4,58.3,24.10000000000001,1014562619.4000003
DE,F,2007,42013740.0,82.7,58.6,24.1,1012531134.0000001
DE,F,2008,41943545.0,82.7,57.7,25.0,1048588625.0
DE,F,2009,41818073.0,82.8,58.1,24.699999999999996,1032906403.0999998
DE,F,2010,41698651.0,83.0,58.7,24.299999999999997,1013277219.2999998
DE,F,2011,41097465.0,83.1,58.6,24.499999999999993,1006887892.4999998
DE,F,2012,41097953.0,83.1,57.9,25.199999999999996,1035668415.5999998
DE,F,2013,41142770.0,83.0,57.0,26.0,1069712020.0
DE,F,2014,41210540.0,83.6,56.5,27.099999999999994,1116805633.9999998
DE,F,2015,41362080.0,83.1,67.5,15.599999999999994,645248447.9999998
DE,F,2016,41661561.0,83.5,67.3,16.200000000000003,674917288.2000002
DE,F,2017,41824535.0,83.4,66.7,16.700000000000003,698469734.5000001
DE,F,2018,41948786.0,83.3,66.3,17.0,713129362.0
DE,F,2019,42052522.0,83.7,67.1,16.60000000000001,698071865.2000004
DE,F,2020,42129098.0,83.5,66.8,16.700000000000003,703555936.6000001
DE,F,2021,42128512.0,83.3,66.5,16.799999999999997,707759001.5999999
DE,F,2022,42170339.0,83.0,61.2,21.799999999999997,919313390.1999999
DE,F,2023,42198796.0,83.5,63.0,20.5,865075318.0
DE,F,2024,42294114.0,83.5,62.6,20.9,883946982.5999999
DE,M,2005,40353627.0,76.7,54.5,22.200000000000003,895850519.4000001
DE,M,2006,40339961.0,77.2,58.7,18.5,746289278.5
DE,M,2007,40301166.0,77.4,59.0,18.400000000000006,741541454.4000002
DE,M,2008,40274292.0,77.6,56.4,21.199999999999996,853814990.3999999
DE,M,2009,40184283.0,77.8,57.1,20.699999999999996,831814658.0999998
DE,M,2010,40103606.0,78.0,57.9,20.1,806082480.6
DE,M,2011,39124600.0,77.9,57.8,20.10000000000001,786404460.0000004
DE,M,2012,39229947.0,78.1,57.3,20.799999999999997,815982897.5999999
DE,M,2013,39380976.0,78.1,57.7,20.39999999999999,803371910.3999996
DE,M,2014,39556923.0,78.7,56.4,22.300000000000004,882119382.9000002
DE,M,2015,39835457.0,78.3,65.3,13.0,517860941.0
DE,M,2016,40514123.0,78.6,65.3,13.299999999999997,538837835.8999999
DE,M,2017,40697118.0,78.7,65.1,13.600000000000009,553480804.8000003
DE,M,2018,40843565.0,78.6,65.1,13.5,551388127.5
DE,M,2019,40966691.0,79.0,65.4,13.599999999999994,557146997.5999998
DE,M,2020,41037613.0,78.7,64.7,14.0,574526582.0
DE,M,2021,41026519.0,78.4,64.7,13.700000000000003,562063310.3000001
DE,M,2022,41066785.0,78.3,60.9,17.4,714562059.0
DE,M,2023,40919705.0,78.7,62.1,16.6,679267103.0
DE,M,2024,41161931.0,78.9,62.1,16.800000000000004,691520440.8000002
FR,F,2004,32120553.0,83.8,64.3,19.5,626350783.5
FR,F,2005,32387008.0,83.8,64.6,19.200000000000003,621830553.6000001
FR,F,2006,32638535.0,84.5,64.4,20.099999999999994,656034553.4999998
FR,F,2007,32841832.0,84.8,64.4,20.39999999999999,669973372.7999997
FR,F,2008,33026963.0,84.8,64.5,20.299999999999997,670447348.8999999
FR,F,2009,33202247.0,85.0,63.5,21.5,713848310.5
FR,F,2010,33357092.0,85.3,63.4,21.9,730520314.8
FR,F,2011,33515819.0,85.7,63.6,22.1,740699599.9000001
FR,F,2012,33671600.0,85.4,63.8,21.60000000000001,727306560.0000002
FR,F,2013,33827685.0,85.6,64.3,21.299999999999997,720529690.4999999
FR,F,2014,34120851.0,86.1,64.2,21.89999999999999,747246636.8999997
FR,F,2015,34283895.0,85.6,64.6,21.0,719961795.0
FR,F,2016,34391005.0,85.7,64.1,21.60000000000001,742845708.0000002
FR,F,2017,34495464.0,85.7,64.9,20.799999999999997,717505651.1999999
FR,F,2018,34611994.0,85.8,64.5,21.299999999999997,737235472.1999999
FR,F,2019,34739132.0,85.9,64.6,21.30000000000001,739943511.6000004
FR,F,2020,34828670.0,85.3,65.3,20.0,696573400.0
FR,F,2021,34946473.0,85.5,66.9,18.599999999999994,650004397.7999998
FR,F,2022,35109077.0,85.1,65.2,19.89999999999999,698670632.2999997
FR,F,2023,35188809.0,85.7,64.1,21.60000000000001,760078274.4000003
FR,F,2024,35360111.0,85.8,63.7,22.099999999999994,781458453.0999998
FR,M,2004,30171688.0,76.7,61.5,15.200000000000003,458609657.6000001
FR,M,2005,30385862.0,76.7,62.3,14.400000000000006,437556412.8000002
FR,M,2006,30591100.0,77.3,62.8,14.5,443570950.0
FR,M,2007,30803233.0,77.6,62.8,14.799999999999997,455887848.3999999
FR,M,2008,30980230.0,77.8,62.8,15.0,464703450.0
FR,M,2009,31147979.0,78.0,62.8,15.200000000000003,473449280.8000001
FR,M,2010,31301764.0,78.2,61.8,16.400000000000006,513348929.6000002
FR,M,2011,31462902.0,78.7,62.7,16.0,503406432.0
FR,M,2012,31605383.0,78.7,62.6,16.1,508846666.3000001
FR,M,2013,31772665.0,79.0,63.0,16.0,508362640.0
FR,M,2014,32045129.0,79.5,63.4,16.1,515926576.90000004
FR,M,2015,32174258.0,79.2,62.6,16.6,534092682.8000001
FR,M,2016,32247386.0,79.5,62.6,16.9,544980823.4
FR,M,2017,32314352.0,79.6,62.5,17.099999999999994,552575419.1999998
FR,M,2018,32414230.0,79.7,63.4,16.300000000000004,528351949.0000001
FR,M,2019,32551339.0,79.9,63.7,16.200000000000003,527331691.8000001
FR,M,2020,32644981.0,79.2,63.9,15.300000000000004,499468209.30000013
