country,sex,year,supply,demand,balance,balance_lo,balance_hi
RO,M,2026,188392683.68751392,151486647.43817765,36906036.249336496,23310362.37622416,50418427.674944565
RO,M,2027,186757597.9595984,151058988.16701096,35698609.79258765,20425218.36619731,50597793.755119435
RO,M,2028,185613795.3270194,150241710.84996852,35372084.47705105,19638504.344937216,51524162.58044335
RO,M,2029,184948779.33424938,149593775.69945788,35355003.634791926,19952358.364084885,51405663.83576174
RO,M,2030,184001479.60615975,149037768.91116697,34963710.69499314,17065263.193768445,53674185.45384465
RO,M,2031,182657793.2173852,147744449.24522758,34913343.972157836,14998721.992039893,55424083.875401706
RO,M,2032,182486722.20835197,147473154.09074867,35013568.11760338,14011798.675351067,56697030.19347425
RO,M,2033,179637722.1498648,145326283.75800893,34311438.39185549,14638523.392675016,55565587.81027222
RO,M,2034,176437454.19887376,143455546.48136717,32981907.717506938,13239171.462216511,53219218.19930334
RO,M,2035,173642802.3222681,141164986.3467062,32477815.975561786,11339222.994442858,52629163.37549376
DE,F,2025,762170843.5793442,893627151.9049467,-131456308.32560152,-177947774.20011947,-82858583.48965178
DE,F,2026,766412487.6805077,893081515.592379,-126669027.91187042,-189299463.06197768,-64987778.15545639
DE,F,2027,765189538.6983563,892045655.1380748,-126856116.43971813,-201526012.08889574,-47057054.1633202
DE,F,2028,763131129.0914586,886646548.7081065,-123515419.61664821,-210747371.6924451,-33326846.178309485
DE,F,2029,766591416.2654663,885419896.2217342,-118828479.95626815,-218621952.66120586,-16098649.354677498
DE,F,2030,758226613.2195306,884460597.3601463,-126233984.14061368,-239624504.88980094,-8173130.453719548
DE,F,2031,761046796.1573178,881437340.4211787,-120390544.26386093,-243113752.5461951,4136682.2007918363
DE,F,2032,758276839.9133271,880197497.966802,-121920658.05347504,-249209008.66387105,12822486.512952577
DE,F,2033,758021711.2864448,877113773.6032015,-119092062.31675386,-262780052.14377922,28063186.073048435
DE,F,2034,764489718.2492352,879811338.2377148,-115321619.98848107,-267237364.782186,27982455.031669192
DE,F,2035,771214894.2629849,879163962.3692695,-107949068.1062849,-264341723.18175137,54709331.20799869
DE,M,2025,893425445.0968635,993596252.094434,-100170806.99757095,-142383432.1557931,-54559843.01953884
DE,M,2026,894428626.1007277,992750160.5285895,-98321534.42786284,-154583339.33001503,-38578027.88560256
DE,M,2027,891862297.2153659,990325524.6522318,-98463227.4368665,-167400475.01033026,-26382146.425770704
DE,M,2028,890480872.7538651,986233169.6391114,-95752296.88524571,-178525868.1587872,-15867851.145220015
DE,M,2029,886996187.4385412,979749666.8500423,-92753479.41150144,-177886587.74176586,-4507514.327284895
DE,M,2030,889605486.199512,976735474.531073,-87129988.33156158,-181065354.1237765,12179488.09681064
DE,M,2031,888139702.5431345,971666209.8535709,-83526507.31043352,-187812374.77269247,17470889.885820527
DE,M,2032,881666703.0609359,969654996.1136527,-87988293.05271687,-191148309.59428406,21810002.188822426
DE,M,2033,880532770.0887758,967412581.2995677,-86879811.2107919,-198035601.00150138,24817316.573331963
DE,M,2034,883344724.4941685,964278036.4853691,-80933311.99120165,-204026107.81534782,44860487.80602837
DE,M,2035,884812304.1770223,969140016.2580191,-84327712.08099711,-211039130.86125,45527820.131692834
FR,F,2025,574887780.6501356,611233478.3543689,-36345697.704232976,-53711262.975405596,-19499854.346468076
FR,F,2026,576668256.6949817,613556499.9338533,-36888243.23887279,-64357105.71873023,-8159480.395148432
FR,F,2027,577214561.3276246,615293666.9569998,-38079105.62937463,-78442645.66088565,-295678.42721657
FR,F,2028,577921357.5451149,617745325.8929881,-39823968.34787276,-88561232.78524296,8106147.199168643
FR,F,2029,578340954.5089695,619422995.7744689,-41082041.26549951,-97045887.06604186,18198424.548843443
FR,F,2030,578974382.0385771,619394290.8722012,-40419908.8336245,-111420332.01471347,24332266.14049499
FR,F,2031,579881747.1071577,622180113.4315475,-42298366.32438933,-119974580.11554733,36488245.33427982
FR,F,2032,577549536.4667748,620357310.7207161,-42807774.25394108,-123189398.07830869,38592810.83271143
FR,F,2033,576402838.0800114,623667503.0800667,-47264665.00005466,-140035658.3084505,46331410.39875567
FR,F,2034,578600582.7195107,623784242.7155986,-45183659.99608728,-148803451.3490728,62464927.80861989
FR,F,2035,573307558.8639605,623430682.9061146,-50123124.0421558,-170088791.1551692,74603720.87584487
FR,M,2025,642059400.2197777,636042840.1013417,6016560.118434935,-13143311.854006946,26317130.56847425
FR,M,2026,640243753.7136914,635942373.2112129,4301380.5024777865,-28416688.273391474,37248873.15196949
FR,M,2027,640439992.4395466,636027321.1827294,4412671.256817411,-45614474.0182204,52835882.85969496
FR,M,2028,638197070.3640267,634098469.0522922,4098601.3117334475,-59811897.7997346,64559548.94368179
FR,M,2029,635370007.658041,633245095.3261635,2124912.331878071,-80313087.30436717,76647688.25187513
FR,M,2030,631064995.4395072,629978192.9616821,1086802.4778251576,-97273145.81261177,92000276.8395273
FR,M,2031,629939177.593391,631406746.1377898,-1467568.544399329,-112792427.86805451,108057438.50979929
FR,M,2032,628603192.1613097,629376243.28507,-773051.1237596861,-136988622.0281206,119071145.18920447
FR,M,2033,623559051.4117985,626345096.197702,-2786044.7859045314,-165159882.019214,143101735.24969104
FR,M,2034,619797081.3376877,623146962.3559958,-3349881.0183083345,-178915506.93580765,154912839.36613593
FR,M,2035,618539583.5873517,624334868.2210854,-5795284.633733854,-185718590.20978552,156063356.74039623
NO,F,2025,52413055.68964901,57902122.38158131,-5489066.691932247,-8535916.449429376,-2380012.8356840103
NO,F,2026,52743587.07656736,58091275.25012212,-5347688.173554865,-9400283.930662006,-1255901.9826394713
NO,F,2027,53235326.04653736,58374377.52266411,-5139051.476126666,-10849432.24250417,248974.11698286314
NO,F,2028,53364123.78435725,58683076.42031709,-5318952.6359597305,-11758003.807838015,1448595.1470878448
NO,F,2029,53880273.104499385,59009163.18763151,-5128890.083132152,-12908497.270697394,2679079.0687589725
NO,F,2030,53982404.823606774,59243751.49674419,-5261346.673137347,-13646701.40873931,3592301.6209236355
NO,F,2031,54172563.47114907,59403056.22847817,-5230492.757329054,-15087657.365676189,5155277.272575665
NO,F,2032,54450197.18452231,59653747.23387866,-5203550.049356497,-15663983.6038939,5743653.97011763
NO,F,2033,54732265.78652127,59707180.69672053,-4974914.910199239,-16061064.785990806,6777165.071078163
NO,F,2034,54802321.162963204,59757187.347639464,-4954866.18467611,-16603672.021433841,6728541.772987218
NO,F,2035,55195995.160758145,60058149.86856237,-4862154.707804337,-17767243.7233115,8106409.231824411
NO,M,2025,65540963.24082314,63085004.38415048,2455958.856672551,-761319.5454151913,5817341.010815833
NO,M,2026,65669769.6322925,63420368.868619025,2249400.7636735193,-2555014.435324902,6913217.00445672
NO,M,2027,65798504.56589243,63688095.38616958,2110409.179722932,-3512648.6040839925,7678463.016529423
NO,M,2028,66604332.21696507,64106134.518305615,2498197.6986593204,-4360364.704947229,9348116.974952975
NO,M,2029,66646728.12841354,64366894.32479721,2279833.803616441,-6048345.653128569,10726016.329011094
NO,M,2030,67201526.86759062,64478606.62788236,2722920.2397083505,-6860583.710227419,12564979.151753915
NO,M,2031,67471580.37895517,64992970.34091506,2478610.0380401206,-8959962.4543449,13486555.96306462
NO,M,2032,67625878.33269352,65162381.942148484,2463496.3905449677,-9320651.273438063,14395365.734303571
NO,M,2033,67558155.9937659,65293706.51574033,2264449.4780257065,-9627153.720832545,15110238.774571558
NO,M,2034,67020913.3779362,65395782.175427504,1625131.202508714,-11989566.53561657,15247550.233306678
NO,M,2035,67873781.0521402,65486754.69038373,2387026.361756538,-10826706.361405158,15607073.492956819
CH,F,2025,78430788.74209456,98695656.39528954,-20264867.653194994,-23650223.84122737,-16863186.28648385
CH,F,2026,78519900.93382342,98940407.63558902,-20420506.701765735,-25702553.319006555,-15168680.95114073
CH,F,2027,78335502.54541896,99055260.67807601,-20719758.132657036,-27161872.820635375,-14085421.3745115
CH,F,2028,78085612.65630104,99282888.12792514,-21197275.471624017,-28863602.128517516,-14118092.92095699
CH,F,2029,78245328.84227602,99216520.60103762,-20971191.758761793,-27850181.762926906,-13863135.03505705
CH,F,2030,77942488.6772146,99394326.91714312,-21451838.239928685,-29989759.309362162,-12982371.031373696
CH,F,2031,77284329.49678203,99217095.57913142,-21932766.082349386,-31606225.37433785,-12780417.18489298
CH,F,2032,77508716.26174654,99616126.3042185,-22107410.042471867,-29842075.73791705,-14138740.806527987
CH,F,2033,77180572.7734963,99741303.38826135,-22560730.61476489,-30654916.206738207,-13886798.914425217
CH,F,2034,77026220.91789478,99657758.85991699,-22631537.94202219,-31632453.369646166,-13260736.351348933
CH,F,2035,76517481.73875415,99687264.5133945,-23169782.77464025,-32636866.60592412,-12991133.637817185
CH,M,2025,95837470.76074015,108963518.95702441,-13126048.196284361,-16340716.060822716,-9976951.998657996
CH,M,2026,95756626.14729443,108883966.42390239,-13127340.276607903,-18241267.173853315,-8369325.44179826
CH,M,2027,95386898.32907565,108791656.52935366,-13404758.200277783,-19615712.620323323,-7381074.376547987
CH,M,2028,95222467.06932954,108686317.45274125,-13463850.383411793,-19809730.33312027,-7439208.943197696
CH,M,2029,94912904.89007673,108451590.49847393,-13538685.608397283,-20114838.797826312,-7222542.47346627
CH,M,2030,94558807.12836218,108300825.46513382,-13742018.336771427,-21226192.72626298,-5857914.624168353
CH,M,2031,94177337.76486507,108132739.62175281,-13955401.856887862,-22276548.993932728,-5272760.8681176985
CH,M,2032,93954587.57765438,107996281.56183143,-14041693.98417702,-21772603.969162155,-6407906.021530325
CH,M,2033,93435612.26800273,107743901.03062965,-14308288.762627028,-22322242.490524277,-6083619.316261758
CH,M,2034,93153961.65420185,107686993.8791977,-14533032.224996021,-22862968.73026211,-5405213.745997582
CH,M,2035,93019580.38686118,107693936.70979238,-14674356.322931198,-24159384.674010683,-5026425.686035409
