country,sex,year,pop_total,hly_birth,employed_ths,vacancies_sex,jobs,required_service_years,supply_py,demand_py,balance_py,supply_per_demand
BG,M,2024,3097698.0,66.8,1490.4,9128.092385138967,1499528.0923851389,39.83,206926226.4,59726203.91970008,147200022.48029992,3.4645802481973496
CH,F,2011,3992708.0,64.7,1916.5,27168.72727381752,1943668.7272738174,44.0,258328207.60000002,85521424.00004797,172806783.59995204,3.020625657494374
CH,F,2012,4032409.0,67.6,1944.7,25196.354216595875,1969896.3542165959,44.0,272590848.4,86675439.58553022,185915408.81446975,3.1449606682526343
CH,F,2013,4070536.0,58.4,1966.0,26414.91261952989,1992414.91261953,44.0,237719302.4,87666256.15525933,150053046.24474066,2.7116397212057586
CH,F,2014,4117540.0,56.7,2006.8,27295.63455465775,2034095.6345546579,44.0,233464518.0,89500207.92040494,143964310.07959506,2.6085360405824596
CH,F,2015,4163786.0,57.8,2041.6,24699.987461962613,2066299.9874619625,44.0,240666830.79999998,90917199.44832635,149749631.35167363,2.6470990336298827
CH,F,2016,4205655.0,57.7,2074.6,25183.44702810246,2099783.4470281024,44.0,242666293.5,92390471.66923651,150275821.8307635,2.626529436593419
CH,F,2017,4246113.0,59.4,2078.7,28080.229828933192,2106780.229828933,44.0,252219112.2,92698330.11247304,159520782.08752695,2.7208592851022955
CH,F,2018,4277696.0,59.5,2099.4,34611.76132668063,2134011.7613266804,44.0,254522912.0,93896517.49837394,160626394.50162607,2.7106746744298342
CH,F,2019,4307406.0,60.0,2125.8,39147.64997018486,2164947.649970185,44.0,258444360.0,95257696.59868814,163186663.40131187,2.7131073837403625
CH,F,2020,4337170.0,60.7,2123.3,31423.749778682723,2154723.749778683,44.0,263266219.0,94807844.99026205,168458374.00973797,2.776840028660505
CH,F,2021,4367701.0,59.3,2130.3,42723.24866824341,2173023.248668243,44.0,259004669.29999998,95613022.9414027,163391646.35859728,2.7088848499093405
CH,F,2022,4400588.0,56.7,2151.2,57969.66371758743,2209169.6637175875,44.0,249513339.60000002,97203465.20357385,152309874.39642617,2.5669181554118734
